"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛЬДМАН""";г. Москва, вн.тер.г. муниципальный округ Даниловский, проезд 2-й Павелецкий, д. 5, стр. 1, офис 2, ком. 23
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАПЛАБ""";г. Москва, вн.тер.г. муниципальный округ Богородское, ул Краснобогатырская, д. 42, стр. 1, этаж/помещ. 5/№13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КТМ""";г. Москва, вн.тер.г. муниципальный округ Южнопортовый, ул Петра Романова, д. 7, стр. 1, этаж 5 ПОМЕЩ. I, ком. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛЕТАЕМ ТЕХНИКС""";г. Москва, вн.тер.г. муниципальный округ Внуково, п Внуково, ул Центральная, д. 8Б, этаж/ком. 7/19, офис 20
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АРМАТА""";г. Москва, вн.тер.г. муниципальный округ Лосиноостровский, ул Тайнинская, д. 9, этаж 19 ПОМЕЩ. 827, офис 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМПЛ ВЭЙ АУДИО ГРИФ""";г. Москва, вн.тер.г. муниципальный округ Гагаринский, пр-кт Ленинский, д. 52, кв. 229
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНИМА ТЕХНОЛОДЖИС""";г. Москва, вн.тер.г. муниципальный округ Дорогомилово, ул Кульнева, д. 3, стр. 1, этаж 2, помещ./ком. IV/9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОДВИЖЕНИЕ""";г. Москва, вн.тер.г. муниципальный округ Нижегородский, ул 2-я Карачаровская, д. 1, стр. 1, этаж 1, КОМ. 171, офис Б1Т
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «АРМАДА»;г. Москва, вн.тер.г. муниципальный округ Дорогомилово, ул Дунаевского, д. 8, к. 1, этаж/помещ. 1/2, ком. 27
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «БРИГ»;г. Москва, вн.тер.г. муниципальный округ Дорогомилово, ул Дунаевского, д. 8, к. 1, этаж/помещ. 1/3, ком. 35
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГИЯ""";г. Москва, вн.тер.г. муниципальный округ Замоскворечье, ул Садовническая, д. 72, стр. 1, этаж/помещ. 1/III, ком./офис 5/К8Н
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АБЗ КАЛУЖСКОЕ""";г. Москва, вн.тер.г. муниципальный округ Теплый Стан, ул Академика Бакулева, д. 10, помещ. 13, ЭТАЖ 1, ком. 1-2, ОФИС 05
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОРИОН""";г. Москва, вн.тер.г. муниципальный округ Тверской, ул Сущёвская, д. 12, стр. 1, этаж 5, ком. 80
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛАВКАРТОН""";г. Москва, вн.тер.г. муниципальный округ Тверской, ул Новослободская, д. 20, этаж 2 ПОМЕЩ. I, ком. 15 ОФИС 12-В
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФИНАДИ""";г. Москва, вн.тер.г. муниципальный округ Хамовники, проезд Новолужнецкий, д. 9, стр. 4, пом III, ком. 17 А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""13""";г. Москва, вн.тер.г. муниципальный округ Головинский, б-р Кронштадтский, д. 6, к. 5, кв. 194
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЕТОНАКТИВ+""";г. Москва, вн.тер.г. поселение Московский, д Саларьево, ул Передельцевская, д. 35, стр. 1, ком. 19
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТРИУМ""";г. Москва, вн.тер.г. муниципальный округ Лефортово, ул Лефортовский Вал, д. 16А, этаж/помещ 1/I, ком/оф 21Г/47
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ РЕШЕНИЕ""";г. Москва, вн.тер.г. муниципальный округ Тимирязевский, ул Тимирязевская, д. 1, стр. 2, помещ. III
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРНЕР КРАФТ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, наб Пресненская, д. 10, стр. 2, этаж/помещ. 11/97, ком./офис 2/262
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСТОРГ""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Бутлерова, д. 17Б, этаж/помещ. 2/XI, ком./офис 60Е/189
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДС-РЕЦИКЛИНГ""";г. Москва, вн.тер.г. муниципальный округ Матушкино, г Зеленоград, к. 406, кв. 58, ком. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАНУФАКТУРА ВЫШИВКИ""";г. Москва, вн.тер.г. муниципальный округ Ивановское, пр-кт Свободный, д. 19, кв. 112
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРПИ""";г. Москва, вн.тер.г. муниципальный округ Красносельский, ул Сретенка, д. 24/2, стр. 1, этаж 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОСПЕКТ""";г. Москва, вн.тер.г. муниципальный округ Басманный, пер Переведеновский, д. 18, стр. 6, помещ. II ЭТАЖ 1, ком. 5 РМЗ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДАТА КЛАСТЕР""";г. Москва, вн.тер.г. муниципальный округ Пресненский, пер Богословский, д. 16/6, стр. 1, помещ. 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛМАКС""";г. Москва, вн.тер.г. муниципальный округ Люблино, ул Таганрогская, д. 10/21, этаж/помещ./ком. 1/IV/33
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФОРВАРД""";г. Москва, вн.тер.г. муниципальный округ Дорогомилово, ул Кульнева, д. 1, этаж/помещ. 1/3, ком. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ЭЛЕКТРОНИКС ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Марфино, ул Малая Ботаническая, д. 24А, стр. 1, этаж 1, ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГА""";г. Москва, вн.тер.г. муниципальный округ Хамовники, пер Барыковский, д. 5, этаж 1, ком./офис 21А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КРОВЕСТОП""";г. Москва, вн.тер.г. муниципальный округ Лианозово, ул Угличская, д. 16, помещ. 57 ЭТАЖ 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННОСНАБЖАЮЩАЯКОМПАНИЯ-77""";г. Москва, вн.тер.г. муниципальный округ Сокольники, ул Маленковская, д. 32, стр. 3, эт./помещ. 2/6, ком./офис 15/2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СФЕРА""";г. Москва, вн.тер.г. муниципальный округ Богородское, проезд Погонный, д. 5, к. 1, этаж/помещ 1/III, ком. 12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРСАЛЬ""";г. Москва, вн.тер.г. муниципальный округ Измайлово, ул 8-я Парковая, д. 25, этаж ЦОКОЛЬ ПОМЕЩ. I КОМ. 17 ОФИС 93
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТАЛЛИЧЕСКИЙ СТИЛЬ""";г. Москва, вн.тер.г. муниципальный округ Ясенево, ул Инессы Арманд, д. 4, к. 1, кв. 303
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОККЕРТ""";г. Москва, вн.тер.г. муниципальный округ Богородское, проезд 4-й Подбельского, д. 3, стр. 2, этаж/помещ. 1/6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНПРОФ""";г. Москва, вн.тер.г. муниципальный округ Ново-Переделкино, ул Скульптора Мухиной, д. 7, помещ. II, ком. 3 РМ-19
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДИРЕКТ""";г. Москва, вн.тер.г. муниципальный округ Можайский, ул Гжатская, д. 16, к. 1, этаж/офис 1/25, ком. 1,2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИАД КОМПЛЕКТ""";г. Москва, вн.тер.г. муниципальный округ Зюзино, б-р Черноморский, д. 17, к. 1, этаж 5 ПОМЕЩ. II КОМ. 1 ОФИС 117
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛМЕТ""";г. Москва, вн.тер.г. муниципальный округ Царицыно, ул Деловая, д. 11, к. 1, этаж 2, ПОМЕЩ. 238
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРИМТОРГ""";г. Москва, вн.тер.г. муниципальный округ Алтуфьевский, ш Алтуфьевское, д. 79А, стр. 25, этаж/пом 2/4/1, ком./офис 6(О)/98
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАН""";г. Москва, вн.тер.г. муниципальный округ Ховрино, ул Зеленоградская, д. 23, к. 1, кв. 32
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРОНТТИ""";г. Москва, вн.тер.г. муниципальный округ Донской, проезд 5-й Верхний Михайловский, д. 2, этаж 2, ком. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛАНТА""";г. Москва, вн.тер.г. поселение Сосенское, п Коммунарка, ул Потаповская Роща, д. 26, к. 3, кв. 261
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМ ТАРО""";г. Москва, вн.тер.г. муниципальный округ Войковский, ул Зои и Александра Космодемьянских, д. 26/21, стр. 1, этаж/помещ. 1/I, ком. 13В
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОКОЛ""";г. Москва, вн.тер.г. муниципальный округ Даниловский, ул Кожевническая, д. 16, стр. 4, этаж 2, помещ. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЗСК""";г. Москва, вн.тер.г. муниципальный округ Красносельский, пер Орликов, д. 5, стр. 1А, этаж 1, ком. 185
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АФИОН""";г. Москва, вн.тер.г. муниципальный округ Дмитровский, ш Дмитровское, д. 157, стр. 9, этаж 3, помещ./офис 9342А/С
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МСК""";г. Москва, вн.тер.г. муниципальный округ Люблино, ул Марьинский Парк, д. 45, этаж 1, помещ. XVII,ОФИС50
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ЗАВЕТ""";г. Москва, вн.тер.г. муниципальный округ Рязанский, пр-кт Рязанский, д. 16, стр. 4, помещ. 22
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙ ДЕТАЛЬ ФАИР""";г. Москва, вн.тер.г. муниципальный округ Хамовники, пер Барыковский, д. 4, стр. 2, эт/помещ 1/III, офис 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕР РЕСУРС""";г. Москва, вн.тер.г. муниципальный округ Алексеевский, ул Космонавтов, д. 18, к. 2, офис 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГК УТК""";г. Москва, вн.тер.г. муниципальный округ Ростокино, ул Докукина, д. 10, стр. 2, помещ. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХМЕДЛАБ""";г. Москва, вн.тер.г. муниципальный округ Можайский, тер Сколково инновационного центра, б-р Большой, д. 30, стр. 1, эт./помещ. 2/430, раб.место 430-9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИТНИР""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Бутлерова, д. 17, этаж 12, КОМ. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКИЙ КРИСТАЛЛ""";г. Москва, вн.тер.г. муниципальный округ Очаково-Матвеевское, ш. Очаковское, д. 34, эт./пом. 2/IV, ком. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМТАРА""";г. Москва, вн.тер.г. муниципальный округ Котловка, ул Большая Черёмушкинская, д. 25, стр. 97, этаж 3, оф. 322
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ПАНЭПС""";г. Москва, вн.тер.г. муниципальный округ Черемушки, ул Намёткина, д. 14, к. 1, этаж 3, помещ. I КАБ. №304
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАЙН ИЗ ГЛОБАЛ""";г. Москва, вн.тер.г. муниципальный округ Бабушкинский, ул Искры, д. 31, к. 1, этаж ЧЕРДАК, помещ./ком. II/7А(РМ3В)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБУРСТРОЙКОМ""";г. Москва, вн.тер.г. муниципальный округ Ростокино, ул Докукина, д. 12, офис 103
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛАБОРАТОРИЯ МЕБЕЛИ""";г. Москва, вн.тер.г. муниципальный округ Останкинский, б-р Звёздный, д. 21, стр. 1, помещ. 18/1, ОФИС 102
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСКОВСКИЙ ЗАВОД ТЕРМОПАНЕЛЕЙ""";г. Москва, вн.тер.г. муниципальный округ Якиманка, ул Большая Полянка, д. 7/10, стр. 3, этаж/помещ. 4/IX, ком./офис 20/9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙПРОМРЕСУРС""";г. Москва, вн.тер.г. муниципальный округ Раменки, ул Мосфильмовская, д. 28, помещ. 1, ч/ком. 5 ОФИС 008А-I ЦОКОЛЬ
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ РУССТИЛЬ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, проезд Шмитовский, д. 39, к. 1, помещ. I ЭТАЖ 1, офис Г
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЕЛЛЕР ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Даниловский, ул Лобанова, д. 8, ком. 522/5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФБИТ""";г. Москва, вн.тер.г. муниципальный округ Донской, ул Орджоникидзе, д. 11, стр. 1А, ком. 18
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЛСТУК""";г. Москва, вн.тер.г. муниципальный округ Нагорный, проезд Электролитный, д. 5Б, этаж/помещ. 9/I, ком/офис 39/5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМАРАНТ""";г. Москва, вн.тер.г. муниципальный округ Даниловский, ул Ленинская Слобода, д. 26, этаж/помещ. 5/XXXII-166, ком./офис 1/33
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КИСИН""";г. Москва, вн.тер.г. муниципальный округ Косино-Ухтомский, ул Руднёвка, д. 14, офис 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МИКРОН-022""";г. Москва, вн.тер.г. поселение Сосенское, п Коммунарка, ул Потаповская Роща, д. 16, к. 1, кв. 32
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕПЛЯКОВ""";г. Москва, вн.тер.г. муниципальный округ Перово, ш Энтузиастов, д. 56, стр. 25, помещ. 2204
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАВОД ВЕНТИЛЯЦИОННОГО ОБОРУДОВАНИЯ ""ФЛАМЕКС""";г. Москва, вн.тер.г. муниципальный округ Сокол, ш Волоколамское, д. 1, стр. 1, этаж 8 ПОМЕЩ. 1/8, офис 8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВАНГАРД""";г. Москва, вн.тер.г. муниципальный округ Южное Бутово, ул Старокрымская, д. 15, к. 1, этаж/помещ 1/IV, офис 1Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАНСМЕХАНИЗМ""";г. Москва, вн.тер.г. муниципальный округ Митино, ул Митинская, д. 42, кв. 65
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""П2П""";г. Москва, вн.тер.г. муниципальный округ Аэропорт, пер 3-й Балтийский, д. 4, к. 1, кв. 23
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ НОМЕР""";г. Москва, вн.тер.г. муниципальный округ Замоскворечье, наб Космодамианская, д. 40-42, стр. 3, этаж 1, ПОМ. XVII, ком. 1, ОФ. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ЮНИКОЛОР""";г. Москва, вн.тер.г. муниципальный округ Алексеевский, ул 1-я Мытищинская, д. 3, стр. 1, этаж 4, КАБИНЕТ №403, ком. №3А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОЛИТБЕТОН""";г. Москва, вн.тер.г. муниципальный округ Арбат, проезд Шломина, д. 6, подвал, пом. V, КОМ. 2, ОФ. 67
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БУРАН""";г. Москва, вн.тер.г. муниципальный округ Гольяново, ул Камчатская, д. 3, кв. 127
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕРТИКАЛЬ""";г. Москва, вн.тер.г. муниципальный округ Новогиреево, ул Перовская, д. 67, стр. 10, этаж, комната 3, 12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОМБРА""";г. Москва, вн.тер.г. муниципальный округ Можайский, ул Горбунова, д. 12, к. 2, помещ. I, ком. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАНД-ТО""";г. Москва, вн.тер.г. муниципальный округ Нагатино-Садовники, проезд Коломенский, д. 25, к. 3, кв. 13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРТАДА""";г. Москва, вн.тер.г. муниципальный округ Северное Измайлово, ул 11-я Парковая, д. 49, стр. 3, офис 2 (А)
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭМИНЕНТ ИНТЕРНЭШНЛ""";г. Москва, вн.тер.г. муниципальный округ Басманный, пер Армянский, д. 9, стр. 1, этаж 2, офис 223/55
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ «МСК-ФУД»;г. Москва, вн.тер.г. муниципальный округ Нагатинский затон, ул Речников, д. 21, стр. 7, этаж/помещ./офис 1/IV/12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЬЮТИ ВЕКТОР""";г. Москва, вн.тер.г. муниципальный округ Пресненский, проезд Шмитовский, д. 16, стр. 2, этаж 1, ПОМ. V, ком. 3, ОФИС 13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПКМ""";г. Москва, вн.тер.г. муниципальный округ Ново-Переделкино, ул Чоботовская, д. 17, эт./помеш. 1/I, ком./офис 2/10-9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРИОД ИКС""";г. Москва, вн.тер.г. муниципальный округ Замоскворечье, пер 1-й Новокузнецкий, д. 10А, помещ. П3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРЕЙН ТЕХНОЛОДЖИС""";г. Москва, вн.тер.г. муниципальный округ Даниловский, ул Дербеневская, д. 11А, стр. 13, ком. 21
